part_number	name	warranty	instock	priceOpt
MT16JTF51264AZ-1G4H1	4Gb DDR3-1333 2Rx8 Micron MT16JTF51264AZ-1G4H1 - 360грн	36	100	180
MT16JTF51264AZ-1G4M1	4Gb DDR3-1333 2Rx8 Micron MT16JTF51264AZ-1G4M1 - 360грн, есть 8шт	36	800	180
RMR1870EC58E9F-1333	4Gb DDR3-1333 2Rx8 Ramaxel RMR1870EC58E9F-1333 - 360грн, есть 5шт	36	500	180
M378B5273CH0-CH9	4Gb DDR3-1333 2Rx8 Samsung M378B5273CH0-CH9 - 360грн, есть 29шт	36	900	180
M378B5273DH0-CH9	4Gb DDR3-1333 2Rx8 Samsung M378B5273DH0-CH9 - 360грн, есть 42шт	36	900	180
MT9KSF25672AZ-1G6K1	2Gb DDR3L-1600 1Rx8 Micron MT9KSF25672AZ-1G6K1 ECC Unbuffered - 150грн, есть 12шт	36	900	75
MT18JSF25672AZ-1G4G1	2Gb DDR3-1333 2Rx8 Micron MT18JSF25672AZ-1G4G1 ZE ECC Unbuffered - 150грн	36	100	75
M391B5673DZ1-CF8	2Gb DDR3-1066 2Rx8 Samsung M391B5673DZ1-CF8 ECC Unbuffered - 150грн	36	100	75
MT4JTF25664AZ-1G6E1	2Gb DDR3-1600 1Rx16 Micron MT4JTF25664AZ-1G6E1 - 150грн, есть 13шт	36	900	75
RMR5030ED58E8W-1600	2Gb DDR3-1600 1Rx8 Ramaxel RMR5030ED58E8W-1600 - 150грн	36	100	75
M378B5773SB0-CK0	2Gb DDR3-1600 1Rx8 Samsung M378B5773SB0-CK0 - 150грн	36	100	75
BL25664BA1339	2Gb DDR3-1333 1Rx8 Crucial Ballistix Sport BL25664BA1339.8FD - 150грн	36	100	75
NT2GC64B88B0NS-CG	2Gb DDR3-1333 1Rx8 Nanya NT2GC64B88B0NS-CG - 150грн	36	100	75
